ID,Country,Year,Month,Day of Week,Time of Day,Urban/Rural,Road Type,Weather Conditions,Visibility Level,Speed Limit,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Accident Severity,Traffic Volume,Road Condition,Accident Cause,Region,Vehicle Type
1,USA,2002,October,Tuesday,Evening,Rural,Street,Windy,220.4146505416504,37,0.0519211977366355,0,Poor,Moderate,7412.752760172099,Wet,Weather,Europe,Bicycle
2,UK,2014,December,Saturday,Evening,Urban,Street,Windy,168.31135811140985,96,0.2348934669025476,1,Poor,Minor,4458.628819608176,Snow-covered,Mechanical Failure,North America,Truck
3,USA,2012,July,Sunday,Afternoon,Urban,Highway,Snowy,341.2865059843754,62,0.1423656028392793,0,Moderate,Moderate,9856.915064331828,Wet,Speeding,South America,Bicycle
4,UK,2017,May,Saturday,Evening,Urban,Main Road,Clear,489.384535519872,78,0.1208147716756711,1,Good,Minor,4958.646267212246,Icy,Distracted Driving,Australia,Bicycle
5,Canada,2002,July,Tuesday,Afternoon,Rural,Highway,Rainy,348.34484981036843,98,0.1558415905015216,1,Poor,Moderate,3843.1914625376803,Icy,Distracted Driving,South America,Motorcycle
6,India,2010,May,Monday,Evening,Urban,Street,Snowy,479.2168336052988,30,0.0840023187146544,1,Moderate,Severe,360.9517951930779,Dry,Speeding,South America,Truck
7,China,2010,March,Monday,Afternoon,Rural,Street,Foggy,386.1762173083017,92,0.0752929262927642,0,Poor,Moderate,7607.80470548657,Wet,Weather,Asia,Motorcycle
8,USA,2016,July,Friday,Afternoon,Rural,Main Road,Foggy,75.60868773465776,61,0.0516108625275244,0,Good,Minor,6061.407001697918,Dry,Speeding,South America,Truck
9,Japan,2014,August,Thursday,Afternoon,Rural,Highway,Rainy,387.82867548208174,106,0.1597675337717115,1,Poor,Minor,3793.8505419606504,Snow-covered,Mechanical Failure,Europe,Truck
10,USA,2007,April,Monday,Evening,Urban,Highway,Foggy,443.9654082345454,74,0.0976205287327644,1,Moderate,Minor,1140.4293077850557,Snow-covered,Distracted Driving,Australia,Bicycle
11,Canada,2017,July,Wednesday,Night,Rural,Highway,Foggy,380.96947262785153,30,0.0296708336501105,1,Moderate,Severe,578.0305755267683,Snow-covered,Distracted Driving,Europe,Truck
12,USA,2014,September,Wednesday,Evening,Rural,Main Road,Snowy,132.27656240641528,68,0.2275167072102793,1,Good,Moderate,7656.412730974854,Dry,Weather,Europe,Bicycle
13,UK,2005,January,Tuesday,Afternoon,Urban,Street,Snowy,292.7861996131263,31,0.1072553139600899,1,Good,Minor,5974.680150539996,Snow-covered,Drunk Driving,Europe,Motorcycle
14,Canada,2008,September,Thursday,Evening,Rural,Main Road,Snowy,166.5240590955179,112,0.1084102595950501,1,Good,Minor,143.55852675356016,Icy,Drunk Driving,Asia,Car
15,Japan,2013,May,Thursday,Afternoon,Rural,Main Road,Foggy,417.3395882316792,64,0.0916752464714165,0,Poor,Severe,6592.827686094341,Icy,Drunk Driving,Europe,Motorcycle
16,UK,2001,August,Thursday,Morning,Rural,Main Road,Snowy,435.4224298065668,39,0.0763787025697046,1,Moderate,Moderate,6379.0546693144015,Icy,Mechanical Failure,North America,Motorcycle
17,USA,2010,October,Monday,Morning,Urban,Main Road,Rainy,264.6276856617341,36,0.0066097106787544,0,Good,Minor,6887.7491701856525,Dry,Distracted Driving,South America,Car
